Rainfall - (MM), Year, Statistics, Country, ISO3
23.6132,1904, Feb Average,Andhra Pradesh, AP
80.0829,1904, Mar Average,Andhra Pradesh, AP
26.0583,1904, Apr Average,Andhra Pradesh, AP
29.9485,1904, May Average,Andhra Pradesh, AP
0.65549,1904, Jun Average,Andhra Pradesh, AP
3.95575,1904, Jul Average,Andhra Pradesh, AP
3.1932,1904, Aug Average,Andhra Pradesh, AP
10.454,1904, Sep Average,Andhra Pradesh, AP
16.7642,1904, Oct Average,Andhra Pradesh, AP
17.9043,1904, Nov Average,Andhra Pradesh, AP
18.2342,1904, Dec Average,Andhra Pradesh, AP
65.5861,1905, Jan Average,Andhra Pradesh, AP
32.616,1905, Feb Average,Andhra Pradesh, AP
64.7628,1905, Mar Average,Andhra Pradesh, AP
27.6942,1905, Apr Average,Andhra Pradesh, AP
19.1447,1905, May Average,Andhra Pradesh, AP
5.04219,1905, Jun Average,Andhra Pradesh, AP
1.58474,1905, Jul Average,Andhra Pradesh, AP
1.03713,1905, Aug Average,Andhra Pradesh, AP
6.96228,1905, Sep Average,Andhra Pradesh, AP
1.07818,1905, Oct Average,Andhra Pradesh, AP
3.42445,1905, Nov Average,Andhra Pradesh, AP
41.2052,1905, Dec Average,Andhra Pradesh, AP
21.4617,1906, Jan Average,Andhra Pradesh, AP
96.1208,1906, Feb Average,Andhra Pradesh, AP
51.8554,1906, Mar Average,Andhra Pradesh, AP
43.2336,1906, Apr Average,Andhra Pradesh, AP
18.4308,1906, May Average,Andhra Pradesh, AP
4.62089,1906, Jun Average,Andhra Pradesh, AP
4.62117,1906, Jul Average,Andhra Pradesh, AP
5.87336,1906, Aug Average,Andhra Pradesh, AP
3.08521,1906, Sep Average,Andhra Pradesh, AP
3.47906,1906, Oct Average,Andhra Pradesh, AP
5.81417,1906, Nov Average,Andhra Pradesh, AP
33.0802,1906, Dec Average,Andhra Pradesh, AP
51.3601,1907, Jan Average,Andhra Pradesh, AP
49.8828,1907, Feb Average,Andhra Pradesh, AP
41.55,1907, Mar Average,Andhra Pradesh, AP
56.4171,1907, Apr Average,Andhra Pradesh, AP
32.2363,1907, May Average,Andhra Pradesh, AP
13.1965,1907, Jun Average,Andhra Pradesh, AP
6.88764,1907, Jul Average,Andhra Pradesh, AP
4.17896,1907, Aug Average,Andhra Pradesh, AP
3.42643,1907, Sep Average,Andhra Pradesh, AP
14.6192,1907, Oct Average,Andhra Pradesh, AP
7.99659,1907, Nov Average,Andhra Pradesh, AP
4.84096,1907, Dec Average,Andhra Pradesh, AP
80.3858,1908, Jan Average,Andhra Pradesh, AP
37.6062,1908, Feb Average,Andhra Pradesh, AP
48.7997,1908, Mar Average,Andhra Pradesh, AP
79.586,1908, Apr Average,Andhra Pradesh, AP
13.8888,1908, May Average,Andhra Pradesh, AP
4.17761,1908, Jun Average,Andhra Pradesh, AP
9.28017,1908, Jul Average,Andhra Pradesh, AP
7.96612,1908, Aug Average,Andhra Pradesh, AP
6.8751,1908, Sep Average,Andhra Pradesh, AP
2.85977,1908, Oct Average,Andhra Pradesh, AP
1.30171,1908, Nov Average,Andhra Pradesh, AP
39.3343,1908, Dec Average,Andhra Pradesh, AP
33.3713,1909, Jan Average,Andhra Pradesh, AP
57.0135,1909, Feb Average,Andhra Pradesh, AP
47.2142,1909, Mar Average,Andhra Pradesh, AP
63.6401,1909, Apr Average,Andhra Pradesh, AP
24.3855,1909, May Average,Andhra Pradesh, AP
6.6878,1909, Jun Average,Andhra Pradesh, AP
14.8759,1909, Jul Average,Andhra Pradesh, AP
1.54623,1909, Aug Average,Andhra Pradesh, AP
3.40075,1909, Sep Average,Andhra Pradesh, AP
5.32157,1909, Oct Average,Andhra Pradesh, AP
3.92673,1909, Nov Average,Andhra Pradesh, AP
40.6712,1909, Dec Average,Andhra Pradesh, AP
84.1007,1910, Jan Average,Andhra Pradesh, AP
33.0929,1910, Feb Average,Andhra Pradesh, AP
59.604,1910, Mar Average,Andhra Pradesh, AP
33.4674,1910, Apr Average,Andhra Pradesh, AP
17.443,1910, May Average,Andhra Pradesh, AP
4.64161,1910, Jun Average,Andhra Pradesh, AP
15.9478,1910, Jul Average,Andhra Pradesh, AP
19.3898,1910, Aug Average,Andhra Pradesh, AP
0.98545,1910, Sep Average,Andhra Pradesh, AP
1.54956,1910, Oct Average,Andhra Pradesh, AP
1.60143,1910, Nov Average,Andhra Pradesh, AP
20.7147,1910, Dec Average,Andhra Pradesh, AP
81.7582,1911, Jan Average,Andhra Pradesh, AP
33.2795,1911, Feb Average,Andhra Pradesh, AP
93.9092,1911, Mar Average,Andhra Pradesh, AP
30.6049,1911, Apr Average,Andhra Pradesh, AP
29.269,1911, May Average,Andhra Pradesh, AP
1.66792,1911, Jun Average,Andhra Pradesh, AP
0.85061,1911, Jul Average,Andhra Pradesh, AP
0.52687,1911, Aug Average,Andhra Pradesh, AP
1.27605,1911, Sep Average,Andhra Pradesh, AP
5.76539,1911, Oct Average,Andhra Pradesh, AP
13.1378,1911, Nov Average,Andhra Pradesh, AP
19.3229,1911, Dec Average,Andhra Pradesh, AP
66.017,1912, Jan Average,Andhra Pradesh, AP
33.4554,1912, Feb Average,Andhra Pradesh, AP
48.7584,1912, Mar Average,Andhra Pradesh, AP
53.7615,1912, Apr Average,Andhra Pradesh, AP
22.857,1912, May Average,Andhra Pradesh, AP
6.87415,1912, Jun Average,Andhra Pradesh, AP
4.774,1912, Jul Average,Andhra Pradesh, AP
5.99133,1912, Aug Average,Andhra Pradesh, AP
9.66359,1912, Sep Average,Andhra Pradesh, AP
4.73237,1912, Oct Average,Andhra Pradesh, AP
6.10278,1912, Nov Average,Andhra Pradesh, AP
38.3154,1912, Dec Average,Andhra Pradesh, AP
33.331,1913, Jan Average,Andhra Pradesh, AP
49.2776,1913, Feb Average,Andhra Pradesh, AP
29.8131,1913, Mar Average,Andhra Pradesh, AP
35.2728,1913, Apr Average,Andhra Pradesh, AP
15.9955,1913, May Average,Andhra Pradesh, AP
5.64514,1913, Jun Average,Andhra Pradesh, AP
2.79316,1913, Jul Average,Andhra Pradesh, AP
5.7752,1913, Aug Average,Andhra Pradesh, AP
4.07352,1913, Sep Average,Andhra Pradesh, AP
18.5193,1913, Oct Average,Andhra Pradesh, AP
18.4011,1913, Nov Average,Andhra Pradesh, AP
52.3384,1913, Dec Average,Andhra Pradesh, AP
36.0808,1914, Jan Average,Andhra Pradesh, AP
64.9747,1914, Feb Average,Andhra Pradesh, AP
57.3971,1914, Mar Average,Andhra Pradesh, AP
70.8684,1914, Apr Average,Andhra Pradesh, AP
12.2636,1914, May Average,Andhra Pradesh, AP
12.6816,1914, Jun Average,Andhra Pradesh, AP
20.7016,1914, Jul Average,Andhra Pradesh, AP
3.5196,1914, Aug Average,Andhra Pradesh, AP
7.92802,1914, Sep Average,Andhra Pradesh, AP
32.8543,1914, Oct Average,Andhra Pradesh, AP
47.0632,1914, Nov Average,Andhra Pradesh, AP
16.8143,1914, Dec Average,Andhra Pradesh, AP
2.35124,1915, Jan Average,Andhra Pradesh, AP
48.8026,1915, Feb Average,Andhra Pradesh, AP
49.0669,1915, Mar Average,Andhra Pradesh, AP
122.319,1915, Apr Average,Andhra Pradesh, AP
5.62109,1915, May Average,Andhra Pradesh, AP
4.82275,1915, Jun Average,Andhra Pradesh, AP
7.50787,1915, Jul Average,Andhra Pradesh, AP
0.6063,1915, Aug Average,Andhra Pradesh, AP
3.33097,1915, Sep Average,Andhra Pradesh, AP
3.878,1915, Oct Average,Andhra Pradesh, AP
1.90754,1915, Nov Average,Andhra Pradesh, AP
14.1418,1915, Dec Average,Andhra Pradesh, AP
60.8339,1916, Jan Average,Andhra Pradesh, AP
29.4013,1916, Feb Average,Andhra Pradesh, AP
63.7392,1916, Mar Average,Andhra Pradesh, AP
79.5083,1916, Apr Average,Andhra Pradesh, AP
24.6421,1916, May Average,Andhra Pradesh, AP
5.16555,1916, Jun Average,Andhra Pradesh, AP
3.00767,1916, Jul Average,Andhra Pradesh, AP
30.4777,1916, Aug Average,Andhra Pradesh, AP
3.70389,1916, Sep Average,Andhra Pradesh, AP
1.65727,1916, Oct Average,Andhra Pradesh, AP
0.53176,1916, Nov Average,Andhra Pradesh, AP
3.84999,1916, Dec Average,Andhra Pradesh, AP
28.4949,1917, Jan Average,Andhra Pradesh, AP
19.6124,1917, Feb Average,Andhra Pradesh, AP
49.1161,1917, Mar Average,Andhra Pradesh, AP
4.05525,1917, Apr Average,Andhra Pradesh, AP
9.60672,1917, May Average,Andhra Pradesh, AP
2.89983,1917, Jun Average,Andhra Pradesh, AP
1.36646,1917, Jul Average,Andhra Pradesh, AP
15.1365,1917, Aug Average,Andhra Pradesh, AP
12.629,1917, Sep Average,Andhra Pradesh, AP
4.46263,1917, Oct Average,Andhra Pradesh, AP
0.90427,1917, Nov Average,Andhra Pradesh, AP
16.8932,1917, Dec Average,Andhra Pradesh, AP
23.3096,1918, Jan Average,Andhra Pradesh, AP
39.1442,1918, Feb Average,Andhra Pradesh, AP
94.1561,1918, Mar Average,Andhra Pradesh, AP
42.2803,1918, Apr Average,Andhra Pradesh, AP
7.55001,1918, May Average,Andhra Pradesh, AP
7.08868,1918, Jun Average,Andhra Pradesh, AP
1.83434,1918, Jul Average,Andhra Pradesh, AP
1.97433,1918, Aug Average,Andhra Pradesh, AP
3.97755,1918, Sep Average,Andhra Pradesh, AP
4.25768,1918, Oct Average,Andhra Pradesh, AP
11.5448,1918, Nov Average,Andhra Pradesh, AP
44.172,1918, Dec Average,Andhra Pradesh, AP
48.8961,1919, Jan Average,Andhra Pradesh, AP
42.0995,1919, Feb Average,Andhra Pradesh, AP
49.3627,1919, Mar Average,Andhra Pradesh, AP
36.5233,1919, Apr Average,Andhra Pradesh, AP
18.204,1919, May Average,Andhra Pradesh, AP
1.65191,1919, Jun Average,Andhra Pradesh, AP
5.18731,1919, Jul Average,Andhra Pradesh, AP
17.3509,1919, Aug Average,Andhra Pradesh, AP
2.49563,1919, Sep Average,Andhra Pradesh, AP
1.8505,1919, Oct Average,Andhra Pradesh, AP
3.57049,1919, Nov Average,Andhra Pradesh, AP
75.2222,1919, Dec Average,Andhra Pradesh, AP
66.7623,1920, Jan Average,Andhra Pradesh, AP
50.6026,1920, Feb Average,Andhra Pradesh, AP
65.4392,1920, Mar Average,Andhra Pradesh, AP
35.9958,1920, Apr Average,Andhra Pradesh, AP
20.5726,1920, May Average,Andhra Pradesh, AP
5.23054,1920, Jun Average,Andhra Pradesh, AP
1.92316,1920, Jul Average,Andhra Pradesh, AP
1.04309,1920, Aug Average,Andhra Pradesh, AP
3.41758,1920, Sep Average,Andhra Pradesh, AP
5.193,1920, Oct Average,Andhra Pradesh, AP
14.5488,1920, Nov Average,Andhra Pradesh, AP
13.2254,1920, Dec Average,Andhra Pradesh, AP
21.5299,1921, Jan Average,Andhra Pradesh, AP
22.8465,1921, Feb Average,Andhra Pradesh, AP
45.5412,1921, Mar Average,Andhra Pradesh, AP
37.7969,1921, Apr Average,Andhra Pradesh, AP
9.29067,1921, May Average,Andhra Pradesh, AP
5.08164,1921, Jun Average,Andhra Pradesh, AP
5.55215,1921, Jul Average,Andhra Pradesh, AP
12.3174,1921, Aug Average,Andhra Pradesh, AP
0.54273,1921, Sep Average,Andhra Pradesh, AP
7.64369,1921, Oct Average,Andhra Pradesh, AP
14.6059,1921, Nov Average,Andhra Pradesh, AP
67.8731,1921, Dec Average,Andhra Pradesh, AP
38.8563,1922, Jan Average,Andhra Pradesh, AP
78.2993,1922, Feb Average,Andhra Pradesh, AP
53.9466,1922, Mar Average,Andhra Pradesh, AP
17.7391,1922, Apr Average,Andhra Pradesh, AP
32.4333,1922, May Average,Andhra Pradesh, AP
6.66615,1922, Jun Average,Andhra Pradesh, AP
5.86797,1922, Jul Average,Andhra Pradesh, AP
7.20743,1922, Aug Average,Andhra Pradesh, AP
8.00064,1922, Sep Average,Andhra Pradesh, AP
7.22036,1922, Oct Average,Andhra Pradesh, AP
6.30062,1922, Nov Average,Andhra Pradesh, AP
24.9874,1922, Dec Average,Andhra Pradesh, AP
57.6665,1923, Jan Average,Andhra Pradesh, AP
69.3017,1923, Feb Average,Andhra Pradesh, AP
65.558,1923, Mar Average,Andhra Pradesh, AP
57.279,1923, Apr Average,Andhra Pradesh, AP
25.7053,1923, May Average,Andhra Pradesh, AP
2.91109,1923, Jun Average,Andhra Pradesh, AP
1.80774,1923, Jul Average,Andhra Pradesh, AP
15.2484,1923, Aug Average,Andhra Pradesh, AP
3.43594,1923, Sep Average,Andhra Pradesh, AP
23.5604,1923, Oct Average,Andhra Pradesh, AP
3.29739,1923, Nov Average,Andhra Pradesh, AP
8.9824,1923, Dec Average,Andhra Pradesh, AP
47.5914,1924, Jan Average,Andhra Pradesh, AP
87.0205,1924, Feb Average,Andhra Pradesh, AP
42.8792,1924, Mar Average,Andhra Pradesh, AP
89.1158,1924, Apr Average,Andhra Pradesh, AP
49.5405,1924, May Average,Andhra Pradesh, AP
2.30413,1924, Jun Average,Andhra Pradesh, AP
6.69258,1924, Jul Average,Andhra Pradesh, AP
1.87248,1924, Aug Average,Andhra Pradesh, AP
12.6671,1924, Sep Average,Andhra Pradesh, AP
3.2392,1924, Oct Average,Andhra Pradesh, AP
10.2338,1924, Nov Average,Andhra Pradesh, AP
71.1498,1924, Dec Average,Andhra Pradesh, AP
28.7752,1925, Jan Average,Andhra Pradesh, AP
28.7694,1925, Feb Average,Andhra Pradesh, AP
23.85,1925, Mar Average,Andhra Pradesh, AP
22.9276,1925, Apr Average,Andhra Pradesh, AP
30.0979,1925, May Average,Andhra Pradesh, AP
0.46297,1925, Jun Average,Andhra Pradesh, AP
11.746,1925, Jul Average,Andhra Pradesh, AP
4.88045,1925, Aug Average,Andhra Pradesh, AP
7.22729,1925, Sep Average,Andhra Pradesh, AP
29.7706,1925, Oct Average,Andhra Pradesh, AP
17.1549,1925, Nov Average,Andhra Pradesh, AP
1.49003,1925, Dec Average,Andhra Pradesh, AP
40.4897,1926, Jan Average,Andhra Pradesh, AP
48.8849,1926, Feb Average,Andhra Pradesh, AP
83.5702,1926, Mar Average,Andhra Pradesh, AP
63.6852,1926, Apr Average,Andhra Pradesh, AP
15.5987,1926, May Average,Andhra Pradesh, AP
7.07444,1926, Jun Average,Andhra Pradesh, AP
2.52629,1926, Jul Average,Andhra Pradesh, AP
8.29221,1926, Aug Average,Andhra Pradesh, AP
8.73332,1926, Sep Average,Andhra Pradesh, AP
0.83535,1926, Oct Average,Andhra Pradesh, AP
7.55979,1926, Nov Average,Andhra Pradesh, AP
31.0424,1926, Dec Average,Andhra Pradesh, AP
25.4298,1927, Jan Average,Andhra Pradesh, AP
34.5865,1927, Feb Average,Andhra Pradesh, AP
33.6382,1927, Mar Average,Andhra Pradesh, AP
32.1606,1927, Apr Average,Andhra Pradesh, AP
10.9333,1927, May Average,Andhra Pradesh, AP
1.36323,1927, Jun Average,Andhra Pradesh, AP
6.16305,1927, Jul Average,Andhra Pradesh, AP
2.06645,1927, Aug Average,Andhra Pradesh, AP
4.048,1927, Sep Average,Andhra Pradesh, AP
0.64995,1927, Oct Average,Andhra Pradesh, AP
8.16019,1927, Nov Average,Andhra Pradesh, AP
62.8017,1927, Dec Average,Andhra Pradesh, AP
41.0423,1928, Jan Average,Andhra Pradesh, AP
55.5036,1928, Feb Average,Andhra Pradesh, AP
45.5559,1928, Mar Average,Andhra Pradesh, AP
24.2839,1928, Apr Average,Andhra Pradesh, AP
10.1035,1928, May Average,Andhra Pradesh, AP
3.14576,1928, Jun Average,Andhra Pradesh, AP
2.50666,1928, Jul Average,Andhra Pradesh, AP
3.14453,1928, Aug Average,Andhra Pradesh, AP
2.53167,1928, Sep Average,Andhra Pradesh, AP
0.71355,1928, Oct Average,Andhra Pradesh, AP
16.4335,1928, Nov Average,Andhra Pradesh, AP
45.1833,1928, Dec Average,Andhra Pradesh, AP
42.5451,1929, Jan Average,Andhra Pradesh, AP
79.7581,1929, Feb Average,Andhra Pradesh, AP
28.9658,1929, Mar Average,Andhra Pradesh, AP
20.2878,1929, Apr Average,Andhra Pradesh, AP
8.85808,1929, May Average,Andhra Pradesh, AP
3.23088,1929, Jun Average,Andhra Pradesh, AP
28.5373,1929, Jul Average,Andhra Pradesh, AP
10.759,1929, Aug Average,Andhra Pradesh, AP
0.44239,1929, Sep Average,Andhra Pradesh, AP
3.86201,1929, Oct Average,Andhra Pradesh, AP
8.90689,1929, Nov Average,Andhra Pradesh, AP
32.916,1929, Dec Average,Andhra Pradesh, AP
50.1692,1930, Jan Average,Andhra Pradesh, AP
47.6169,1930, Feb Average,Andhra Pradesh, AP
38.3516,1930, Mar Average,Andhra Pradesh, AP
75.6383,1930, Apr Average,Andhra Pradesh, AP
19.3887,1930, May Average,Andhra Pradesh, AP
4.30412,1930, Jun Average,Andhra Pradesh, AP
15.908,1930, Jul Average,Andhra Pradesh, AP
1.58,1930, Aug Average,Andhra Pradesh, AP
7.43434,1930, Sep Average,Andhra Pradesh, AP
6.78928,1930, Oct Average,Andhra Pradesh, AP
4.43977,1930, Nov Average,Andhra Pradesh, AP
21.2264,1930, Dec Average,Andhra Pradesh, AP
81.516,1931, Jan Average,Andhra Pradesh, AP
73.8971,1931, Feb Average,Andhra Pradesh, AP
30.3644,1931, Mar Average,Andhra Pradesh, AP
49.8649,1931, Apr Average,Andhra Pradesh, AP
46.3441,1931, May Average,Andhra Pradesh, AP
11.7684,1931, Jun Average,Andhra Pradesh, AP
10.2598,1931, Jul Average,Andhra Pradesh, AP
2.67202,1931, Aug Average,Andhra Pradesh, AP
2.10933,1931, Sep Average,Andhra Pradesh, AP
11.7163,1931, Oct Average,Andhra Pradesh, AP
33.5984,1931, Nov Average,Andhra Pradesh, AP
41.4348,1931, Dec Average,Andhra Pradesh, AP
76.2694,1932, Jan Average,Andhra Pradesh, AP
23.0718,1932, Feb Average,Andhra Pradesh, AP
78.6606,1932, Mar Average,Andhra Pradesh, AP
26.7844,1932, Apr Average,Andhra Pradesh, AP
17.7512,1932, May Average,Andhra Pradesh, AP
5.46912,1932, Jun Average,Andhra Pradesh, AP
15.7712,1932, Jul Average,Andhra Pradesh, AP
11.5176,1932, Aug Average,Andhra Pradesh, AP
1.16887,1932, Sep Average,Andhra Pradesh, AP
7.79287,1932, Oct Average,Andhra Pradesh, AP
5.30547,1932, Nov Average,Andhra Pradesh, AP
23.5836,1932, Dec Average,Andhra Pradesh, AP
46.7137,1933, Jan Average,Andhra Pradesh, AP
39.3253,1933, Feb Average,Andhra Pradesh, AP
91.4004,1933, Mar Average,Andhra Pradesh, AP
51.0452,1933, Apr Average,Andhra Pradesh, AP
20.0575,1933, May Average,Andhra Pradesh, AP
7.8143,1933, Jun Average,Andhra Pradesh, AP
7.9147,1933, Jul Average,Andhra Pradesh, AP
14.4373,1933, Aug Average,Andhra Pradesh, AP
4.75614,1933, Sep Average,Andhra Pradesh, AP
2.25805,1933, Oct Average,Andhra Pradesh, AP
13.0747,1933, Nov Average,Andhra Pradesh, AP
52.9919,1933, Dec Average,Andhra Pradesh, AP
37.6082,1934, Jan Average,Andhra Pradesh, AP
46.7267,1934, Feb Average,Andhra Pradesh, AP
47.4725,1934, Mar Average,Andhra Pradesh, AP
83.0148,1934, Apr Average,Andhra Pradesh, AP
48.078,1934, May Average,Andhra Pradesh, AP
4.81975,1934, Jun Average,Andhra Pradesh, AP
0.99536,1934, Jul Average,Andhra Pradesh, AP
8.59318,1934, Aug Average,Andhra Pradesh, AP
3.8935,1934, Sep Average,Andhra Pradesh, AP
3.67833,1934, Oct Average,Andhra Pradesh, AP
5.68044,1934, Nov Average,Andhra Pradesh, AP
41.0214,1934, Dec Average,Andhra Pradesh, AP
61.6351,1935, Jan Average,Andhra Pradesh, AP
80.2005,1935, Feb Average,Andhra Pradesh, AP
37.9683,1935, Mar Average,Andhra Pradesh, AP
61.1704,1935, Apr Average,Andhra Pradesh, AP
15.1064,1935, May Average,Andhra Pradesh, AP
13.0977,1935, Jun Average,Andhra Pradesh, AP
4.98352,1935, Jul Average,Andhra Pradesh, AP
7.53432,1935, Aug Average,Andhra Pradesh, AP
2.66205,1935, Sep Average,Andhra Pradesh, AP
10.7244,1935, Oct Average,Andhra Pradesh, AP
33.9639,1935, Nov Average,Andhra Pradesh, AP
9.87502,1935, Dec Average,Andhra Pradesh, AP
19.7755,1936, Jan Average,Andhra Pradesh, AP
71.0944,1936, Feb Average,Andhra Pradesh, AP
57.6215,1936, Mar Average,Andhra Pradesh, AP
53.0364,1936, Apr Average,Andhra Pradesh, AP
25.3499,1936, May Average,Andhra Pradesh, AP
3.7286,1936, Jun Average,Andhra Pradesh, AP
1.4253,1936, Jul Average,Andhra Pradesh, AP
3.29485,1936, Aug Average,Andhra Pradesh, AP
3.51566,1936, Sep Average,Andhra Pradesh, AP
9.88174,1936, Oct Average,Andhra Pradesh, AP
13.2423,1936, Nov Average,Andhra Pradesh, AP
36.8966,1936, Dec Average,Andhra Pradesh, AP
40.1228,1937, Jan Average,Andhra Pradesh, AP
69.9211,1937, Feb Average,Andhra Pradesh, AP
56.3031,1937, Mar Average,Andhra Pradesh, AP
70.8844,1937, Apr Average,Andhra Pradesh, AP
24.7586,1937, May Average,Andhra Pradesh, AP
0.73901,1937, Jun Average,Andhra Pradesh, AP
9.20681,1937, Jul Average,Andhra Pradesh, AP
0.14206,1937, Aug Average,Andhra Pradesh, AP
2.49889,1937, Sep Average,Andhra Pradesh, AP
12.8825,1937, Oct Average,Andhra Pradesh, AP
5.49537,1937, Nov Average,Andhra Pradesh, AP
25.2455,1937, Dec Average,Andhra Pradesh, AP
94.82,1938, Jan Average,Andhra Pradesh, AP
56.1294,1938, Feb Average,Andhra Pradesh, AP
64.5296,1938, Mar Average,Andhra Pradesh, AP
33.3143,1938, Apr Average,Andhra Pradesh, AP
3.42007,1938, May Average,Andhra Pradesh, AP
6.37576,1938, Jun Average,Andhra Pradesh, AP
8.37999,1938, Jul Average,Andhra Pradesh, AP
6.04895,1938, Aug Average,Andhra Pradesh, AP
1.48021,1938, Sep Average,Andhra Pradesh, AP
0.94782,1938, Oct Average,Andhra Pradesh, AP
16.2251,1938, Nov Average,Andhra Pradesh, AP
29.6089,1938, Dec Average,Andhra Pradesh, AP
56.8361,1939, Jan Average,Andhra Pradesh, AP
107.854,1939, Feb Average,Andhra Pradesh, AP
98.3693,1939, Mar Average,Andhra Pradesh, AP
62.4233,1939, Apr Average,Andhra Pradesh, AP
15.131,1939, May Average,Andhra Pradesh, AP
1.49615,1939, Jun Average,Andhra Pradesh, AP
4.16198,1939, Jul Average,Andhra Pradesh, AP
1.81495,1939, Aug Average,Andhra Pradesh, AP
0.22185,1939, Sep Average,Andhra Pradesh, AP
11.9881,1939, Oct Average,Andhra Pradesh, AP
9.15457,1939, Nov Average,Andhra Pradesh, AP
21.591,1939, Dec Average,Andhra Pradesh, AP
66.9055,1940, Jan Average,Andhra Pradesh, AP
47.668,1940, Feb Average,Andhra Pradesh, AP
55.8901,1940, Mar Average,Andhra Pradesh, AP
25.9141,1940, Apr Average,Andhra Pradesh, AP
21.4932,1940, May Average,Andhra Pradesh, AP
9.35203,1940, Jun Average,Andhra Pradesh, AP
2.09616,1940, Jul Average,Andhra Pradesh, AP
2.90586,1940, Aug Average,Andhra Pradesh, AP
3.4639,1940, Sep Average,Andhra Pradesh, AP
18.7416,1940, Oct Average,Andhra Pradesh, AP
10.2066,1940, Nov Average,Andhra Pradesh, AP
24.6239,1940, Dec Average,Andhra Pradesh, AP
41.6011,1941, Jan Average,Andhra Pradesh, AP
43.5247,1941, Feb Average,Andhra Pradesh, AP
53.3134,1941, Mar Average,Andhra Pradesh, AP
81.2875,1941, Apr Average,Andhra Pradesh, AP
11.5055,1941, May Average,Andhra Pradesh, AP
1.26849,1941, Jun Average,Andhra Pradesh, AP
2.62632,1941, Jul Average,Andhra Pradesh, AP
3.56733,1941, Aug Average,Andhra Pradesh, AP
2.68336,1941, Sep Average,Andhra Pradesh, AP
2.0286,1941, Oct Average,Andhra Pradesh, AP
6.94949,1941, Nov Average,Andhra Pradesh, AP
47.3683,1941, Dec Average,Andhra Pradesh, AP
99.8148,1942, Jan Average,Andhra Pradesh, AP
71.1908,1942, Feb Average,Andhra Pradesh, AP
50.72,1942, Mar Average,Andhra Pradesh, AP
40.2923,1942, Apr Average,Andhra Pradesh, AP
33.6048,1942, May Average,Andhra Pradesh, AP
10.9773,1942, Jun Average,Andhra Pradesh, AP
16.2559,1942, Jul Average,Andhra Pradesh, AP
1.48717,1942, Aug Average,Andhra Pradesh, AP
3.18098,1942, Sep Average,Andhra Pradesh, AP
11.058,1942, Oct Average,Andhra Pradesh, AP
22.7256,1942, Nov Average,Andhra Pradesh, AP
28.6981,1942, Dec Average,Andhra Pradesh, AP
82.8115,1943, Jan Average,Andhra Pradesh, AP
28.0741,1943, Feb Average,Andhra Pradesh, AP
76.8992,1943, Mar Average,Andhra Pradesh, AP
53.1084,1943, Apr Average,Andhra Pradesh, AP
35.9854,1943, May Average,Andhra Pradesh, AP
1.70572,1943, Jun Average,Andhra Pradesh, AP
4.14526,1943, Jul Average,Andhra Pradesh, AP
6.46197,1943, Aug Average,Andhra Pradesh, AP
2.53921,1943, Sep Average,Andhra Pradesh, AP
17.4385,1943, Oct Average,Andhra Pradesh, AP
18.1872,1943, Nov Average,Andhra Pradesh, AP
25.883,1943, Dec Average,Andhra Pradesh, AP
65.5413,1944, Jan Average,Andhra Pradesh, AP
74.7055,1944, Feb Average,Andhra Pradesh, AP
45.5632,1944, Mar Average,Andhra Pradesh, AP
49.2331,1944, Apr Average,Andhra Pradesh, AP
9.89479,1944, May Average,Andhra Pradesh, AP
